Symbol,Name,Sector,Industry,Index,Secode,Indcode
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,Gold,TSXCI,bm,gol
AC.TO,Air Canada,Industrials,Airlines,TSXCI,ind,air
ASR.TO,Alacer Gold Corp.,Basic Materials,Gold,TSXCI,bm,gol
AGI.TO,Alamos Gold Inc.,Basic Materials,Gold,TSXCI,bm,gol
AD.TO,Alaris Royalty Corp.,Financial Services,Credit Services,TSXCI,fs,cse
AQN.TO,Algonquin Power & Utilities Corp.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
ATD-B.TO,Alimentation Couche-Tard Inc.,Consumer Defensive,Grocery Stores,TSXCI,cd,gs
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,REIT - Office,TSXCI,re,ro
ALA.TO,AltaGas Ltd.,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
AIF.TO,Altus Group Limited,Real Estate,Real Estate Services,TSXCI,re,res
APHA.TO,Aphria Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
ARX.TO,ARC Resources Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
AX-UN.TO,Artis Real Estate Investment Trust,Real Estate,REIT - Diversified,TSXCI,re,rd
ACO-X.TO,ATCO Ltd.,Utilities,Utilities - Diversified,TSXCI,uti,ud
ATA.TO,ATS Automation Tooling Systems Inc.,Industrials,Diversified Industrials,TSXCI,ind,di
ACB.TO,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
BTO.TO,B2Gold Corp.,Basic Materials,Gold,TSXCI,bm,gol
BAD.TO,Badger Daylighting Ltd.,Industrials,Engineering & Construction,TSXCI,ind,econ
BMO.TO,Bank of Montreal,Financial Services,Banks - Global,TSXCI,fs,bg
BNS.TO,Bank of Nova Scotia,Financial Services,Banks - Global,TSXCI,fs,bg
ABX.TO,Barrick Gold Corporation,Basic Materials,Gold,TSXCI,bm,gol
BHC.TO,Bausch Health Companies Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
BTE.TO,Baytex Energy Corp.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
BCE.TO,BCE Inc.,Communication Services,Telecom Services,TSXCI,cs,ts
BIR.TO,Birchcliff Energy Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
BB.TO,BlackBerry Limited,Technology,Communication Equipment,TSXCI,tec,ceq
BEI-UN.TO,Boardwalk Real Estate Investment Trust,Real Estate,REIT - Residential,TSXCI,re,rres
BBD-B.TO,Bombardier Inc.,Industrials,Aerospace & Defense,TSXCI,ind,ad
BLX.TO,Boralex Inc.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
BYD-UN.TO,Boyd Group Income Fund,Consumer Cyclical,Personal Services,TSXCI,cc,ps
BAM-A.TO,Brookfield Asset Management Inc.,Financial Services,Asset Management,TSXCI,fs,amana
BBU-UN.TO,Brookfield Business Partners L.P.,Industrials,Conglomerates,TSXCI,ind,cong
BIP-UN.TO,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified,TSXCI,uti,ud
BPY-UN.TO,Brookfield Property Partners L.P.,Real Estate,Real Estate Services,TSXCI,re,res
BEP-UN.TO,Brookfield Renewable Partners L.P.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
DOO.TO,BRP Inc.,Consumer Cyclical,Recreational Vehicles,TSXCI,cc,rv
CAE.TO,CAE Inc.,Industrials,Aerospace & Defense,TSXCI,ind,ad
CCO.TO,Cameco Corporation,Basic Materials,Industrial Metals & Minerals,TSXCI,bm,imm
GOOS.TO,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel Manufacturing,TSXCI,cc,amang
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REIT - Residential,TSXCI,re,rres
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,Banks - Global,TSXCI,fs,bg
CNR.TO,Canadian National Railway Company,Industrials,Railroads,TSXCI,ind,rai
CNQ.TO,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,TSXCI,ene,ogep
CP.TO,Canadian Pacific Railway Limited,Industrials,Railroads,TSXCI,ind,rai
CTC-A.TO,Canadian Tire Corporation Limited,Consumer Cyclical,Specialty Retail,TSXCI,cc,sr
CU.TO,Canadian Utilities Limited,Utilities,Utilities - Diversified,TSXCI,uti,ud
CWB.TO,Canadian Western Bank,Financial Services,Banks - Regional - Canada,TSXCI,fs,brc
CFP.TO,Canfor Corporation,Basic Materials,Lumber & Wood Production,TSXCI,bm,lwp
WEED.TO,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
CPX.TO,Capital Power Corporation,Utilities,Utilities - Regulated Electric,TSXCI,uti,ure
CAS.TO,Cascades Inc.,Basic Materials,Paper & Paper Products,TSXCI,bm,ppp
CCL-B.TO,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers,TSXCI,cc,pc
CLS.TO,Celestica Inc.,Technology,Contract Manufacturers,TSXCI,tec,cman
CVE.TO,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,TSXCI,ene,ogi
CG.TO,Centerra Gold Inc.,Basic Materials,Gold,TSXCI,bm,gol
CEU.TO,CES Energy Solutions Corp.,Energy,Oil & Gas Drilling,TSXCI,ene,ogd
GIB-A.TO,CGI Group Inc.,Technology,Information Technology Services,TSXCI,tec,its
CSH-UN.TO,Chartwell Retirement Residences,Real Estate,REIT - Healthcare Facilities,TSXCI,re,rhf
CHE-UN.TO,Chemtrade Logistics Income Fund,Basic Materials,Specialty Chemicals,TSXCI,bm,sc
CHP-UN.TO,Choice Properties Real Estate Investment Trust,Real Estate,REIT - Retail,TSXCI,re,rret
CHR.TO,Chorus Aviation Inc.,Industrials,Airlines,TSXCI,ind,air
CIX.TO,CI Financial Corp.,Financial Services,Asset Management,TSXCI,fs,amana
CGX.TO,Cineplex Inc.,Consumer Cyclical,Media - Diversified,TSXCI,cc,mdiv
CCA.TO,Cogeco Communications Inc.,Communication Services,Telecom Services,TSXCI,cs,ts
CIGI.TO,Colliers International Group Inc.,Real Estate,Real Estate Services,TSXCI,re,res
CUF-UN.TO,Cominar Real Estate Investment Trust,Real Estate,REIT - Diversified,TSXCI,re,rd
CMG.TO,Computer Modelling Group Ltd.,Technology,Software - Application,TSXCI,tec,sa
CSU.TO,Constellation Software Inc.,Technology,Software - Application,TSXCI,tec,sa
BCB.TO,Cott Corporation,Consumer Defensive,Beverages - Soft Drinks,TSXCI,cd,bsd
CPG.TO,Crescent Point Energy Corp.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
CRR-UN.TO,Crombie Real Estate Investment Trust,Real Estate,REIT - Diversified,TSXCI,re,rd
DSG.TO,Descartes Systems Group Inc.,Technology,Software - Application,TSXCI,tec,sa
DGC.TO,Detour Gold Corporation,Basic Materials,Gold,TSXCI,bm,gol
DOL.TO,Dollarama Inc.,Consumer Defensive,Discount Stores,TSXCI,cd,dis
DII-B.TO,Dorel Industries Inc.,Consumer Cyclical,Home Furnishings & Fixtures,TSXCI,cc,hff
DRG-UN.TO,Dream Global Real Estate Investment Trust,Real Estate,REIT - Office,TSXCI,re,ro
D-UN.TO,Dream Office Real Estate Investment Trust,Real Estate,REIT - Office,TSXCI,re,ro
ECN.TO,ECN Capital Corp.,Financial Services,Credit Services,TSXCI,fs,cse
ELD.TO,Eldorado Gold Corporation,Basic Materials,Gold,TSXCI,bm,gol
EFN.TO,Element Fleet Management Corp.,Financial Services,Credit Services,TSXCI,fs,cse
EMA.TO,Emera Incorporated,Utilities,Utilities - Diversified,TSXCI,uti,ud
EMP-A.TO,Empire Company Limited,Consumer Defensive,Grocery Stores,TSXCI,cd,gs
ENB.TO,Enbridge Inc.,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
ECA.TO,Encana Corporation,Energy,Oil & Gas E&P,TSXCI,ene,ogep
EDV.TO,Endeavour Mining Corporation,Basic Materials,Gold,TSXCI,bm,gol
EFX.TO,Enerflex Ltd.,Energy,Oil & Gas Equipment & Services,TSXCI,ene,oges
ERF.TO,Enerplus Corporation,Energy,Oil & Gas E&P,TSXCI,ene,ogep
ENGH.TO,Enghouse Systems Limited,Technology,Software - Application,TSXCI,tec,sa
ESI.TO,Ensign Energy Services Inc.,Energy,Oil & Gas Drilling,TSXCI,ene,ogd
EIF.TO,Exchange Income Corporation,Industrials,Airlines,TSXCI,ind,air
EXE.TO,Extendicare Real Estate Investment Trust,Healthcare,Long-Term Care Facilities,TSXCI,hea,ltcf
FFH.TO,Fairfax Financial Holdings Limited,Financial Services,Insurance - Property & Casualty,TSXCI,fs,ipc
FTT.TO,Finning International Inc.,Industrials,Industrial Distribution,TSXCI,ind,idis
FCR.TO,First Capital Realty Inc.,Real Estate,Real Estate Services,TSXCI,re,res
FR.TO,First Majestic Silver Corp.,Basic Materials,Silver,TSXCI,bm,sil
FM.TO,First Quantum Minerals Ltd.,Basic Materials,Copper,TSXCI,bm,cop
FSV.TO,FirstService Corporation,Real Estate,Real Estate Services,TSXCI,re,res
FTS.TO,Fortis Inc.,Utilities,Utilities - Regulated Electric,TSXCI,uti,ure
FVI.TO,Fortuna Silver Mines Inc.,Basic Materials,Silver,TSXCI,bm,sil
FNV.TO,Franco-Nevada Corporation,Basic Materials,Gold,TSXCI,bm,gol
FRU.TO,Freehold Royalties Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
MIC.TO,Genworth MI Canada Inc.,Financial Services,Insurance - Specialty,TSXCI,fs,is
WN.TO,George Weston Limited,Consumer Defensive,Grocery Stores,TSXCI,cd,gs
GEI.TO,Gibson Energy Inc.,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,Apparel Manufacturing,TSXCI,cc,amang
G.TO,Goldcorp Inc.,Basic Materials,Gold,TSXCI,bm,gol
GTE.TO,Gran Tierra Energy Inc.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
GRT-UN.TO,Granite Real Estate Investment Trust,Real Estate,REIT - Industrial,TSXCI,re,ri
GC.TO,Great Canadian Gaming Corporation,Consumer Cyclical,Gambling,TSXCI,cc,gam
GWO.TO,Great-West Lifeco Inc.,Financial Services,Insurance - Life,TSXCI,fs,il
GUY.TO,Guyana Goldfields Inc.,Basic Materials,Gold,TSXCI,bm,gol
HR-UN.TO,H&R Real Estate Investment Trust,Real Estate,REIT - Diversified,TSXCI,re,rd
HCG.TO,Home Capital Group Inc.,Financial Services,Specialty Finance,TSXCI,fs,sf
HBM.TO,HudBay Minerals Inc.,Basic Materials,Copper,TSXCI,bm,cop
HBC.TO,Hudson's Bay Company,Consumer Cyclical,Department Stores,TSXCI,cc,des
HSE.TO,Husky Energy Inc.,Energy,Oil & Gas Integrated,TSXCI,ene,ogi
H.TO,Hydro One Limited,Utilities,Utilities - Regulated Electric,TSXCI,uti,ure
IMG.TO,Iamgold Corporation,Basic Materials,Gold,TSXCI,bm,gol
IGM.TO,IGM Financial Inc.,Financial Services,Asset Management,TSXCI,fs,amana
IMO.TO,Imperial Oil Limited,Energy,Oil & Gas Integrated,TSXCI,ene,ogi
IAG.TO,Industrial Alliance Insurance and Financial Services Inc.,Financial Services,Insurance - Diversified,TSXCI,fs,idiv
INE.TO,Innergex Renewable Energy Inc.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
IFC.TO,Intact Financial Corporation,Financial Services,Insurance - Property & Casualty,TSXCI,fs,ipc
IPL.TO,Inter Pipeline Ltd.,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
IFP.TO,Interfor Corporation,Basic Materials,Lumber & Wood Production,TSXCI,bm,lwp
ITP.TO,Intertape Polymer Group Inc.,Consumer Cyclical,Packaging & Containers,TSXCI,cc,pc
IIP-UN.TO,InterRent Real Estate Investement Trust,Real Estate,REIT - Residential,TSXCI,re,rres
IVN.TO,Ivanhoe Mines Ltd.,Basic Materials,Industrial Metals & Minerals,TSXCI,bm,imm
KEL.TO,Kelt Exploration Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
KEY.TO,Keyera Corp.,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
KMP-UN.TO,Killiam Apartment Real Estate Investment Trust,Real Estate,REIT - Residential,TSXCI,re,rres
KXS.TO,Kinaxis Inc.,Technology,Software - Application,TSXCI,tec,sa
KML.TO,Kinder Morgan Canada,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
K.TO,Kinross Gold Corporation,Basic Materials,Gold,TSXCI,bm,gol
KL.TO,Kirkland Lake Gold Ltd.,Basic Materials,Gold,TSXCI,bm,gol
GUD.TO,Knight Therapeutics Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
LIF.TO,Labrador Iron Ore Royalty Corporation,Basic Materials,Steel,TSXCI,bm,ste
LB.TO,Laurentian Bank of Canada,Financial Services,Banks - Regional - Canada,TSXCI,fs,brc
LNR.TO,Linamar Corporation,Consumer Cyclical,Auto Parts,TSXCI,cc,ap
L.TO,Loblaw Companies Limited,Consumer Defensive,Grocery Stores,TSXCI,cd,gs
LUC.TO,Lucara Diamond Corp.,Basic Materials,Industrial Metals & Minerals,TSXCI,bm,imm
LUN.TO,Lundin Mining Corporation,Basic Materials,Copper,TSXCI,bm,cop
MAG.TO,MAG Silver Corp.,Basic Materials,Silver,TSXCI,bm,sil
MG.TO,Magna International Inc.,Consumer Cyclical,Auto Parts,TSXCI,cc,ap
MFC.TO,Manulife Financial Corporation,Financial Services,Insurance - Life,TSXCI,fs,il
MFI.TO,Maple Leaf Foods Inc.,Consumer Defensive,Packaged Foods,TSXCI,cd,pf
MRE.TO,Martinrea International Inc.,Consumer Cyclical,Auto Parts,TSXCI,cc,ap
MAXR.TO,Maxar Technologies Ltd.,Technology,Communication Equipment,TSXCI,tec,ceq
MEG.TO,MEG Energy Corp.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
MX.TO,Methanex Corporation,Basic Materials,Chemicals,TSXCI,bm,che
MRU.TO,Metro Inc.,Consumer Defensive,Grocery Stores,TSXCI,cd,gs
MSI.TO,Morneau Shepell Inc.,Industrials,Staffing & Outsourcing Services,TSXCI,ind,sos
MTY.TO,MTY Food Group Inc.,Consumer Cyclical,Restaurants,TSXCI,cc,rest
MTL.TO,Mullen Group Ltd.,Energy,Oil & Gas Equipment & Services,TSXCI,ene,oges
NA.TO,National Bank of Canada,Financial Services,Banks - Global,TSXCI,fs,bg
NSU.TO,Nevsun Resources Ltd.,Basic Materials,Industrial Metals & Minerals,TSXCI,bm,imm
NFI.TO,New Flyer Industries Inc.,Consumer Cyclical,Auto Manufacturers,TSXCI,cc,aman
NGD.TO,New Gold Inc.,Basic Materials,Gold,TSXCI,bm,gol
NXE.TO,NexGen Energy Ltd.,Basic Materials,Industrial Metals & Minerals,TSXCI,bm,imm
OSB.TO,Norbord Inc.,Basic Materials,Lumber & Wood Production,TSXCI,bm,lwp
NPI.TO,Northland Power Inc.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
NVU-UN.TO,Northview Apartment Real Estate Investment Trust,Real Estate,REIT - Residential,TSXCI,re,rres
NG.TO,NovaGold Resources Inc.,Basic Materials,Gold,TSXCI,bm,gol
NTR.TO,Nutrien Ltd.,Basic Materials,Agricultural Inputs,TSXCI,bm,ai
NVA.TO,NuVista Energy Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
OGC.TO,OceanaGold Corporation,Basic Materials,Gold,TSXCI,bm,gol
ONEX.TO,Onex Corporation,Financial Services,Asset Management,TSXCI,fs,amana
OTEX.TO,Open Text Corporation,Technology,Software - Application,TSXCI,tec,sa
OR.TO,Osisko Gold Royalties Ltd,Basic Materials,Gold,TSXCI,bm,gol
PAAS.TO,Pan American Silver Corp.,Basic Materials,Silver,TSXCI,bm,sil
POU.TO,Paramount Resources Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
PXT.TO,Parex Resources Inc.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
PKI.TO,Parkland Fuel Corporation,Energy,Oil & Gas Refining & Marketing,TSXCI,ene,ogrm
PSI.TO,Pason Systems Inc.,Energy,Oil & Gas Equipment & Services,TSXCI,ene,oges
PPL.TO,Pembina Pipeline Corporation,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
PEY.TO,Peyto Exploration & Development Corp.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
POW.TO,Power Corporation of Canada,Financial Services,Insurance - Life,TSXCI,fs,il
PWF.TO,Power Financial Corporation,Financial Services,Insurance - Life,TSXCI,fs,il
PSK.TO,PrairieSky Royalty Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
PD.TO,Precision Drilling Corporation,Energy,Oil & Gas Equipment & Services,TSXCI,ene,oges
PBH.TO,Premium Brands Holdings Corporation,Consumer Defensive,Packaged Foods,TSXCI,cd,pf
PVG.TO,Pretium Resources Inc.,Basic Materials,Industrial Metals & Minerals,TSXCI,bm,imm
QBR-B.TO,Quebecor Inc.,Communication Services,Telecom Services,TSXCI,cs,ts
QSR.TO,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants,TSXCI,cc,rest
RCH.TO,Richelieu Hardware Ltd.,Consumer Cyclical,Home Furnishings & Fixtures,TSXCI,cc,hff
REI-UN.TO,RioCan Real Estate Investment Trust,Real Estate,REIT - Retail,TSXCI,re,rret
RBA.TO,Ritchie Bros. Auctioneers Incorporated,Industrials,Business Services,TSXCI,ind,bs
RCI-B.TO,Rogers Communications Inc.,Communication Services,Telecom Services,TSXCI,cs,ts
RY.TO,Royal Bank of Canada,Financial Services,Banks - Global,TSXCI,fs,bg
RUS.TO,Russel Metals Inc.,Industrials,Industrial Distribution,TSXCI,ind,idis
SSL.TO,Sandstorm Gold Ltd.,Basic Materials,Gold,TSXCI,bm,gol
SAP.TO,Saputo Inc.,Consumer Defensive,Packaged Foods,TSXCI,cd,pf
SES.TO,Secure Energy Services Inc.,Energy,Oil & Gas Equipment & Services,TSXCI,ene,oges
SMF.TO,Semafo Inc.,Basic Materials,Gold,TSXCI,bm,gol
VII.TO,Seven Generations Energy Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
SJR-B.TO,Shaw Communications Inc.,Communication Services,Telecom Services,TSXCI,cs,ts
SCL.TO,ShawCor Ltd.,Energy,Oil & Gas Equipment & Services,TSXCI,ene,oges
SHOP.TO,Shopify Inc.,Technology,Software - Application,TSXCI,tec,sa
SIA.TO,Sienna Senior Living Inc.,Healthcare,Long-Term Care Facilities,TSXCI,hea,ltcf
SW.TO,Sierra Wireless Inc.,Technology,Communication Equipment,TSXCI,tec,ceq
ZZZ.TO,Sleep Country Canada Holdings Inc.,Consumer Cyclical,Specialty Retail,TSXCI,cc,sr
SRU-UN.TO,SmartCentres Real Estate Investment Trust,Real Estate,REIT - Retail,TSXCI,re,rret
SNC.TO,SNC-Lavalin Group Inc.,Industrials,Engineering & Construction,TSXCI,ind,econ
TOY.TO,Spin Master Corp.,Consumer Cyclical,Leisure,TSXCI,cc,lei
SSRM.TO,SSR Mining,Basic Materials,Gold,TSXCI,bm,gol
STN.TO,Stantec Inc.,Industrials,Engineering & Construction,TSXCI,ind,econ
SJ.TO,Stella-Jones Inc.,Basic Materials,Lumber & Wood Production,TSXCI,bm,lwp
SLF.TO,Sun Life Financial Inc.,Financial Services,Insurance - Diversified,TSXCI,fs,idiv
SU.TO,Suncor Energy Inc.,Energy,Oil & Gas Integrated,TSXCI,ene,ogi
SPB.TO,Superior Plus Corp.,Utilities,Utilities - Diversified,TSXCI,uti,ud
THO.TO,Tahoe Resources Inc.,Basic Materials,Gold,TSXCI,bm,gol
TVE.TO,Tamarack Valley Energy Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
TECK-B.TO,Teck Resources Limited,Basic Materials,Industrial Metals & Minerals,TSXCI,bm,imm
T.TO,Telus Corporation,Communication Services,Telecom Services,TSXCI,cs,ts
TFII.TO,TFI International Inc.,Industrials,Trucking,TSXCI,ind,tru
NWC.TO,The North West Company Inc.,Consumer Defensive,Grocery Stores,TSXCI,cd,gs
TSGI.TO,The Stars Group Inc.,Consumer Cyclical,Gambling,TSXCI,cc,gam
TRI.TO,Thomson Reuters Corporation,Financial Services,Capital Markets,TSXCI,fs,cmar
X.TO,TMX Group Limited,Financial Services,Financial Exchanges,TSXCI,fs,fe
TOG.TO,TORC Oil & Gas Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
TXG.TO,Torex Gold Resources Inc.,Basic Materials,Gold,TSXCI,bm,gol
TIH.TO,Toromont Industries Ltd.,Industrials,Industrial Distribution,TSXCI,ind,idis
TD.TO,Toronto-Dominion Bank,Financial Services,Banks - Global,TSXCI,fs,bg
TOU.TO,Tourmaline Oil Corp.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
TA.TO,TransAlta Corporation,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
RNW.TO,TransAlta Renewables Inc.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
TRP.TO,TransCanada Corporation,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
TCL-A.TO,Transcontinental Inc.,Consumer Cyclical,Publishing,TSXCI,cc,pub
TCW.TO,Trican Well Service Ltd.,Energy,Oil & Gas Equipment & Services,TSXCI,ene,oges
TCN.TO,Tricon Capital Group Inc.,Real Estate,Real Estate Services,TSXCI,re,res
TRQ.TO,Turquoise Hill Resources Ltd.,Basic Materials,Copper,TSXCI,bm,cop
UNS.TO,Uni-Select Inc.,Consumer Cyclical,Auto Parts,TSXCI,cc,ap
VET.TO,Vermilion Energy Inc.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
WCN.TO,Waste Connections Inc.,Industrials,Waste Management,TSXCI,ind,wm
WFT.TO,West Fraser Timber Co. Ltd.,Basic Materials,Lumber & Wood Production,TSXCI,bm,lwp
WEF.TO,Western Forest Products Inc.,Basic Materials,Lumber & Wood Production,TSXCI,bm,lwp
WJA.TO,WestJet Airlines Ltd.,Industrials,Airlines,TSXCI,ind,air
WTE.TO,Westshore Terminals Investment Corporation,Basic Materials,Coal,TSXCI,bm,coa
WPM.TO,Wheaton Precious Metals Corp.,Basic Materials,Silver,TSXCI,bm,sil
WCP.TO,Whitecap Resources Inc.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
WPK.TO,Winpak Ltd.,Consumer Cyclical,Packaging & Containers,TSXCI,cc,pc
WSP.TO,WSP Global Inc.,Industrials,Engineering & Construction,TSXCI,ind,econ
YRI.TO,Yamana Gold Inc.,Basic Materials,Gold,TSXCI,bm,gol
